Wilayah,Indeks Ketimpangan Gender,Indeks Pembangunan Gender,Indeks Pemberdayaan Gender
Situbondo,0.461,87.73,67.73
Probolinggo,0.442,86.63,72.02
Pasuruan,0.346,91.17,69.57
Sidoarjo,0.183,94.9,66.13
Mojokerto,0.295,91.84,78
Jombang,0.236,90.83,69.4
Nganjuk,0.351,94.18,68.09
Madiun,0.146,92.55,72.26
Magetan,0.178,94.37,70.07
Ngawi,0.176,93.13,73.02
Bojonegoro,0.225,91.44,65.45
Tuban,0.213,88.81,72.29
Lamongan,0.203,90.11,67.9
Gresik,0.335,91.25,62.32
Bangkalan,0.641,87.81,55.34
Sampang,0.551,87.16,55.29
Pamekasan,0.548,87.22,51.8
Sumenep,0.549,82.67,63.22
Kota Kediri,0.12,94.78,81.27
Kota Blitar,0.198,97.49,68.4
Kota Malang,0.131,95.9,78.99
Kota Probolinggo,0.257,96.58,76.8
Kota Pasuruan,0.192,96.99,70.04
Kota Mojokerto,0.15,94.02,72.91
Kota Madiun,0.093,95.26,76.51
Kota Surabaya,0.171,94.53,76.4
Kota Batu,0.188,90.86,74.06
Pandeglang,0.502,87.23,70.1
Lebak,0.567,81.22,66.83
Tangerang,0.251,91.69,69.37
Serang,0.531,92.54,60.5
Kota Tangerang,0.328,94.95,65.21
Kota Cilegon,0.248,88.29,53.69
Kota Serang,0.543,92.61,58.38
Kota Tangerang Selatan,0.176,94.47,70.59
Jembrana,0.211,94.9,72.94
Tabanan,0.178,95.95,75.48
Badung,0.186,96.16,64.2
Gianyar,0.175,95.14,73.38
Klungkung,0.21,92.18,69.98
Bangli,0.233,92.58,69.06
Karangasem,0.246,90.67,72.31
Buleleng,0.353,92.24,66.71
Kota Denpasar,0.2,96.77,67.4
Lombok Barat,0.538,90.66,62.49
Lombok Tengah,0.544,88.78,63.6
Lombok Timur,0.551,92.39,71.24
Sumbawa,0.373,94.96,72.58
Dompu,0.513,91.52,61.57
Bima,0.479,92.33,64.63
Sumbawa Barat,0.482,93.61,53.49
Lombok Utara,0.573,86.04,47.67
Kota Mataram,0.444,93.32,77.02
Kota Bima,0.458,96.88,77.48
Sumba Barat,0.278,95.06,69.51
Sumba Timur,0.416,96.24,58.42
Kupang,0.488,89.03,62.06
Timor Tengah Selatan,0.517,95.96,52.73
Timor Tengah Utara,0.443,96.08,68.32
Belu,0.362,97.25,70.57
Alor,0.535,92.75,61.96
Lembata,0.747,91.7,54.68
Flores Timur,0.676,92.15,55.03
Sikka,0.273,89.7,62.39
Ende,0.193,96.33,61.01
Ngada,0.665,96.35,55.66
Manggarai,0.465,89.08,65.39
Rote Ndao,0.81,85.6,50.43
Manggarai Barat,0.461,89.04,62.72
Sumba Tengah,0.43,91.24,66.22
Sumba Barat Daya,0.49,98.36,63.53
Nagekeo,0.35,98.35,62.02
Manggarai Timur,0.59,91.97,53.16
Sabu Raijua,0.484,92.42,57.51
Malaka,0.404,90.79,63.31
Kota Kupang,0.359,96.47,69.16
Sambas,0.414,88.39,74.66
Bengkayang,0.319,84.06,76.94
Landak,0.467,89.71,75.86
Mempawah,0.546,89.03,63.03
Sanggau,0.563,83.03,64.26
Ketapang,0.634,89.61,53.65
Sintang,0.561,88.05,61.9
Kapuas Hulu,0.398,86.83,64.39
Sekadau,0.856,84.13,52.76
Melawi,0.555,81.9,73.76
Kayong Utara,0.617,86.99,53.62
Kubu Raya,0.57,85.68,68.66
Kota Pontianak,0.239,94.8,73.04
Kota Singkawang,0.214,93.15,66.2
Kotawaringin Barat,0.483,92.32,66.73
Kotawaringin Timur,0.553,88.57,67.25
Kapuas,0.562,95.68,72.81
Barito Selatan,0.498,92.61,87.93
Barito Utara,0.527,87.96,87.49
Sukamara,0.518,92.01,63.48
Lamandau,0.509,92,79.46
Seruyan,0.624,89.5,64.15
Katingan,0.584,86.8,56.99
Pulang Pisau,0.5,92.25,68.99
Gunung Mas,0.574,92.4,88.74
Barito Timur,0.471,89.49,84.42
Murung Raya,0.619,84.7,68.81
Kota Palangka Raya,0.42,95.69,69.55
Tanah Laut,0.473,87.78,76.98
Kotabaru,0.551,85.17,75.94
Banjar,0.528,92.52,76.41
Barito Kuala,0.511,90.16,79.23
Tapin,0.577,85.39,65.08
Hulu Sungai Selatan,0.459,90.08,65.92
Hulu Sungai Tengah,0.39,96.18,72.39
Hulu Sungai Utara,0.465,91.79,71.44
Tabalong,0.421,86.83,75.83
Tanah Bumbu,0.533,85.83,64.51
Balangan,0.523,92.95,68.83
Kota Banjarmasin,0.284,94.43,80.9
Kota Banjar Baru,0.173,93.01,76.8
Paser,0.527,73.73,65.98
Kutai Barat,0.477,85.88,70.26
Kutai Kartanegara,0.439,81.2,72.29
Kutai Timur,0.517,78.61,55.87
Berau,0.421,88.58,60.9
Penajam Paser Utara,0.474,87.23,50.52
Mahakam Ulu,0.339,83.61,82.2
Kota Balikpapan,0.313,90.34,75.04
Kota Samarinda,0.243,90.36,62.57
Kota Bontang,0.313,88.35,42.51
Malinau,0.48,83.06,76.58
Bulungan,0.496,86.03,53.78
Tana Tidung,0.448,79.56,61.1
Nunukan,0.362,84.5,73.85
Kota Tarakan,0.352,92.79,68.54
Bolaang Mongondow,0.508,89.12,77.29
Minahasa,0.315,96.88,87.27
Kepulauan Sangihe,0.476,95.82,63.73
Kepulauan Talaud,0.484,98.2,65.89
Minahasa Selatan,0.406,89.76,77.91
Minahasa Utara,0.363,96.62,75.55
Bolaang Mongondow Utara,0.412,87.86,63.81
Siau Tagulandang Biaro,0.332,89.44,83.36
Minahasa Tenggara,0.355,92.84,84.47
Bolaang Mongondow Selatan,0.5,81.59,67.22
Bolaang Mongondow Timur,0.482,91.76,73.9
Kota Manado,0.148,96.86,85.66
Kota Bitung,0.394,94.81,67.94
Kota Tomohon,0.17,99.56,77.11
Kota Kotamobagu,0.383,95.64,63.38
Banggai Kepulauan,0.525,92.86,75.88
Banggai,0.45,91.73,76.96
Morowali,0.476,85.42,64.5
Poso,0.336,97.23,81.43
Donggala,0.53,89.5,71.29
Toli-Toli,0.365,90.6,69.05
Buol,0.349,90.22,76.35
Parigi Moutong,0.51,92.66,60.52
Tojo Una-Una,0.491,92.02,64.62
Sigi,0.444,94.37,79.24
Banggai Laut,0.542,92.73,71.48
Morowali Utara,0.435,97.06,65.68
Kota Palu,0.3,98.57,67.83
Kepulauan Selayar,0.379,92.39,69.07
Bulukumba,0.356,96,74.29
Bantaeng,0.416,95.33,78.79
Jeneponto,0.217,92.39,76.18
Takalar,0.329,88.24,73.63
Gowa,0.308,88.91,81.66
Sinjai,0.382,98.3,67.08
Maros,0.236,89.61,71.86
Pangkajene dan Kepulauan,0.424,91.35,58.4
Barru,0.33,95.74,65.09
Bone,0.501,93.63,63.08
Soppeng,0.265,97.34,69.91
Wajo,0.419,90.65,57.91
Sidenreng Rappang,0.397,92.6,57.11
Pinrang,0.28,95.86,63.06
Enrekang,0.318,98.14,71.41
Luwu,0.393,92.83,65.77
Tana Toraja,0.523,89.05,61.66
Luwu Utara,0.443,90.33,54.02
Luwu Timur,0.465,90.44,56.12
Toraja Utara,0.225,88.43,66.57
Kota Makasar,0.356,94.99,71.04
Kota Parepare,0.166,97.24,75.17
Kota Palopo,0.204,97.58,73.74
Buton,0.518,82.07,76.77
Muna,0.551,88.37,62.24
Konawe,0.551,93.81,68.82
Kolaka,0.383,90.42,74.82
Konawe Selatan,0.449,88.61,71.06
Bombana,0.524,86.08,54.84
Wakatobi,0.43,89.58,80.23
Kolaka Utara,0.407,98.72,63.37
Buton Utara,0.452,92.53,77.55
Konawe Utara,0.524,87.38,70.99
Kolaka Timur,0.498,99.26,71.36
Konawe Kepulauan,0.505,86.43,59.35
Muna Barat,0.513,89.71,47.37
Buton Tengah,0.528,83.79,72.31
Buton Selatan,0.559,74.51,66.54
Kota Kendari,0.394,95.14,77.12
Kota Baubau,0.387,91.35,69.59
Boalemo,0.319,83.61,74.76
Gorontalo,0.365,88.64,70.45
Pohuwato,0.481,92.39,72.47
Bone Bolango,0.417,89.26,62.66
Gorontalo Utara,0.178,82.8,76.92
Kota Gorontalo,0.359,88.47,66.49
Majene,0.424,95.16,76.96
Polewali Mandar,0.467,92.25,75.38
Mamasa,0.48,98.37,61.09
Mamuju,0.501,90.92,60.61
Mamuju Utara / Pasangkayu,0.461,86.14,56.06
Mamuju Tengah,0.489,86.74,55.84
Maluku Tenggara Barat / Kepulauan Tanimbar,0.527,87.55,75.65
Maluku Tenggara,0.522,96.78,65.89
Maluku Tengah,0.522,98.33,69.49
Buru,0.535,91.82,63.96
Kepulauan Aru,0.592,89.52,67.73
Seram Bagian Barat,0.534,98.4,65.99
Seram Bagian Timur,0.611,88.83,58.26
Maluku Barat Daya,0.493,90.65,69.27
Buru Selatan,0.588,87.26,61.8
Kota Ambon,0.476,97.95,77.75
Kota Tual,0.569,88.82,59.16
Halmahera Barat,0.542,89.3,63.53
Halmahera Tengah,0.62,90.6,54.58
Kepulauan Sula,0.581,93.19,62.58
Halmahera Selatan,0.579,87.79,53.87
Halmahera Utara,0.509,90.25,76.99
Halmahera Timur,0.601,82.69,50.49
Pulau Morotai,0.48,72.61,60.7
Pulau Taliabu,0.577,84.93,57.46
Kota Ternate,0.438,92.24,78.02
Kota Tidore Kepulauan,0.414,96.59,71.54
Fakfak,0.448,84.45,77.09
Kaimana,0.524,84.88,77.29
Teluk Wondama,0.529,80.36,69.14
Teluk Bintuni,0.598,86.63,49.78
Manokwari,0.494,85.37,63.55
Manokwari Selatan,0.501,67.91,55.62
Pegunungan Arfak,0.637,79.96,33.54
Raja Ampat,0.601,79.58,56.71
Sorong,0.547,86.89,57.01
Sorong Selatan,0.641,84.04,53.55
Maybrat,0.459,79.46,66.84
Tambrauw,0.618,71.22,43.17
Kota Sorong,0.469,92.17,61.15
Jayapura,0.494,91.63,71.64
Kepulauan Yapen,0.63,89.94,58.4
Biak Numfor,0.448,91.36,64.72
Sarmi,0.362,84.28,74.87
Keerom,0.498,88.13,68.98
Waropen,0.619,72.28,53.34
Supiori,0.83,78.85,48.49
Mamberamo Raya,0.636,83.53,54.73
Kota Jayapura,0.35,94.72,78.29
Merauke,0.412,89.83,72.79
Boven Digoel,0.554,80.79,54.89
Mappi,0.616,85.91,57.73
Asmat,0.501,58.04,78.04
Mimika,0.392,78.38,63.29
Dogiyai,0.853,82.19,52.97
Deiyai,0.853,72.05,22.91
Nabire,0.482,91.48,70.76
Paniai,0.859,70.36,23.59
Intan Jaya,0.865,73.67,46.7
Puncak,0.614,86.98,52.65
Puncak Jaya,0.56,69.64,62.47
Nduga,0.625,90.84,50.08
Jayawijaya,0.491,86.08,64.14
Lanny Jaya,0.558,94.41,50.31
Tolikara,0.606,63.77,56.07
Mamberamo Tengah,0.505,90.21,53.4
Yalimo,0.604,86.44,28.09
Yahukimo,0.661,76.67,33.99
Pegunungan Bintang,0.668,82.99,52.67
